Employee ID,Employee Name,Job Title,Department,Location,Experience (Years),Skills,Certifications,Peer Feedback,Manager Feedback
E0160,Employee 160,Developer,IT,New York,5,"Java, Spring Boot, REST APIs",Oracle Java,Consistently exceeds expectations in collaboration.,Needs to work on balancing speed with accuracy.
E0161,Employee 161,AI Engineer,Product,Berlin,12,"AI, LLM, NLP, Docker",,Great at applying innovative solutions to problems.,Needs to work on balancing speed with accuracy.
E0162,Employee 162,AI Engineer,HR,Bangalore,2,"ML lifecycle, Azure, Stakeholder Management",AWS Machine Learning Specialty,Great at applying innovative solutions to problems.,A go-to person for tough challenges and innovation.
E0163,Employee 163,Tester,Data,Berlin,13,"Selenium, Manual Testing, Test Automation",,Consistently exceeds expectations in collaboration.,Shows technical leadership and delivers timely outcomes.
E0164,Employee 164,Tester,Engineering,New York,11,"Bug Tracking, JIRA, Regression Testing",,Great at applying innovative solutions to problems.,Could improve on documentation and follow-through.
E0165,Employee 165,AI Engineer,Support,Berlin,20,"Chatbot, MLflow, Databricks, Deep Learning",Azure AI Engineer,Great at applying innovative solutions to problems.,A go-to person for tough challenges and innovation.
E0166,Employee 166,Tester,Engineering,Sydney,4,"Bug Tracking, JIRA, Regression Testing",,Great at applying innovative solutions to problems.,Could improve on documentation and follow-through.
E0167,Employee 167,Full Stack Engineer,Consulting,London,15,"JavaScript, React, Node.js, SQL",,Consistently exceeds expectations in collaboration.,Reliably meets project goals and mentoring responsibilities.
E0168,Employee 168,AI Engineer,Support,Toronto,9,"Chatbot, MLflow, Databricks, Deep Learning",AWS Machine Learning Specialty,Needs improvement in cross-functional communication.,Could improve on documentation and follow-through.
E0169,Employee 169,Tester,Engineering,New York,14,"Selenium, Manual Testing, Test Automation",ISTQB,Highly dependable and works well under pressure.,A go-to person for tough challenges and innovation.
E0170,Employee 170,ML Engineer,Engineering,Berlin,12,"MLOps, MLflow, Databricks, Deep Learning",AWS Machine Learning Specialty,Consistently exceeds expectations in collaboration.,Shows technical leadership and delivers timely outcomes.
E0171,Employee 171,IT Support,Support,New York,19,"Active Directory, Scripting, Helpdesk",,Great at applying innovative solutions to problems.,Could improve on documentation and follow-through.
E0172,Employee 172,ML Engineer,Engineering,London,18,"Python, ML lifecycle, Airflow, Docker, Azure",,Needs improvement in cross-functional communication.,Shows technical leadership and delivers timely outcomes.
E0173,Employee 173,IT Support,Consulting,Sydney,18,"Troubleshooting, Networking, Customer Support",,Great at applying innovative solutions to problems.,Needs to work on balancing speed with accuracy.
E0174,Employee 174,Data Analyst,Data,San Francisco,9,"Python, Statistics, Stakeholder Management",Tableau Certified,Needs improvement in cross-functional communication.,A go-to person for tough challenges and innovation.
E0175,Employee 175,Developer,Analytics,Bangalore,13,"Java, Spring Boot, REST APIs",Oracle Java,Highly dependable and works well under pressure.,Could improve on documentation and follow-through.
E0176,Employee 176,Data Scientist,Consulting,Berlin,15,"Python, NLP, Chatbot, Airflow, Docker",AWS Machine Learning Specialty,Needs improvement in cross-functional communication.,Could improve on documentation and follow-through.
E0177,Employee 177,Developer,Support,Sydney,19,"Full Stack, React, Node.js",Microsoft Azure Developer,Great at applying innovative solutions to problems.,Shows technical leadership and delivers timely outcomes.
E0178,Employee 178,Data Scientist,Data,Toronto,3,"Python, NLP, Chatbot, Airflow, Docker",Azure Data Scientist,Needs improvement in cross-functional communication.,Reliably meets project goals and mentoring responsibilities.
E0179,Employee 179,Full Stack Engineer,Consulting,London,7,"Docker, CI/CD, MongoDB, Python",,Great at applying innovative solutions to problems.,Shows technical leadership and delivers timely outcomes.
E0180,Employee 180,Developer,IT,Toronto,19,"Java, Spring Boot, REST APIs",Microsoft Azure Developer,Consistently exceeds expectations in collaboration.,Needs to work on balancing speed with accuracy.
E0181,Employee 181,IT Support,Consulting,Bangalore,2,"Troubleshooting, Networking, Customer Support",CompTIA A+,Highly dependable and works well under pressure.,Could improve on documentation and follow-through.
E0182,Employee 182,IT Support,IT,London,11,"Troubleshooting, Networking, Customer Support",CompTIA A+,Highly dependable and works well under pressure.,Shows technical leadership and delivers timely outcomes.
E0183,Employee 183,Tester,Analytics,San Francisco,13,"Bug Tracking, JIRA, Regression Testing",,Great at applying innovative solutions to problems.,Could improve on documentation and follow-through.
E0184,Employee 184,Data Analyst,Engineering,Berlin,2,"Python, Statistics, Stakeholder Management",,Consistently exceeds expectations in collaboration.,Shows technical leadership and delivers timely outcomes.
E0185,Employee 185,Tester,Consulting,Bangalore,13,"Bug Tracking, JIRA, Regression Testing",ISTQB,Consistently exceeds expectations in collaboration.,A go-to person for tough challenges and innovation.
E0186,Employee 186,AI Engineer,Support,San Francisco,20,"AI, LLM, NLP, Docker",AWS Machine Learning Specialty,Consistently exceeds expectations in collaboration.,A go-to person for tough challenges and innovation.
E0187,Employee 187,AI Engineer,HR,Berlin,19,"AI, LLM, NLP, Docker",AWS Machine Learning Specialty,Consistently exceeds expectations in collaboration.,Needs to work on balancing speed with accuracy.
E0188,Employee 188,AI Engineer,Support,San Francisco,11,"Chatbot, MLflow, Databricks, Deep Learning",AWS Machine Learning Specialty,Excellent at knowledge sharing and team support.,Shows technical leadership and delivers timely outcomes.
E0189,Employee 189,Data Analyst,HR,Sydney,12,"Excel, SQL, Power BI, Data Visualization",,Needs improvement in cross-functional communication.,Could improve on documentation and follow-through.
E0190,Employee 190,HR Manager,IT,San Francisco,6,"Stakeholder Management, Recruiting, Employee Engagement",SHRM Certified,Great at applying innovative solutions to problems.,Could improve on documentation and follow-through.
E0191,Employee 191,AI Engineer,Product,Berlin,19,"ML lifecycle, Azure, Stakeholder Management",Azure AI Engineer,Great at applying innovative solutions to problems.,Reliably meets project goals and mentoring responsibilities.
E0192,Employee 192,Technical Consultant,Support,San Francisco,15,"Project Management, AWS, Cloud Architecture",,Highly dependable and works well under pressure.,Reliably meets project goals and mentoring responsibilities.
E0193,Employee 193,Tester,IT,Bangalore,2,"Bug Tracking, JIRA, Regression Testing",,Needs improvement in cross-functional communication.,Needs to work on balancing speed with accuracy.
E0194,Employee 194,AI Engineer,Product,New York,2,"Chatbot, MLflow, Databricks, Deep Learning",AWS Machine Learning Specialty,Needs improvement in cross-functional communication.,A go-to person for tough challenges and innovation.
E0195,Employee 195,AI Engineer,Consulting,Berlin,19,"AI, LLM, NLP, Docker",,Great at applying innovative solutions to problems.,Shows technical leadership and delivers timely outcomes.
E0196,Employee 196,Tester,Support,Bangalore,16,"Selenium, Manual Testing, Test Automation",,Great at applying innovative solutions to problems.,Could improve on documentation and follow-through.
E0197,Employee 197,Data Scientist,Support,Toronto,3,"Python, Deep Learning, AI, MLflow, ML lifecycle",,Great at applying innovative solutions to problems.,Could improve on documentation and follow-through.
E0198,Employee 198,Data Scientist,Product,Bangalore,17,"Machine Learning, LLM, Databricks",Azure Data Scientist,Great at applying innovative solutions to problems.,Could improve on documentation and follow-through.
E0199,Employee 199,Developer,Consulting,Berlin,11,"Python, Docker, CI/CD",Microsoft Azure Developer,Great at applying innovative solutions to problems.,Shows technical leadership and delivers timely outcomes.
E0200,Employee 200,Developer,Engineering,Bangalore,13,"Python, Docker, CI/CD",Oracle Java,Needs improvement in cross-functional communication.,A go-to person for tough challenges and innovation.
